distance,cab_type,name,time_stamp,destination,source,price,surge_multiplier,id,product_id
2.84,Uber,Black SUV,1.54372E+12,Fenway,West End,33.5,1,456b9321-925e-4b3e-8696-55d6230afc44,6d318bcc-22a3-4af6-bddd-b409bfce1546
2.84,Uber,Black,1.54343E+12,Fenway,West End,23,1,80a4247c-0c0f-4962-a8a6-33039e80baf9,6c84fd89-3f11-4782-9b50-97c468b19529
2.84,Uber,WAV,1.5434E+12,Fenway,West End,11,1,8549feff-78ca-4861-b140-55a9a9b80af6,9a0e7b09-b92b-4c41-9779-2ad22b4d779d
2.84,Uber,UberPool,1.54363E+12,Fenway,West End,9.5,1,c44669ec-ed1c-4bbe-9a1a-5ea9d9aa1919,997acbb5-e102-41e1-b155-9df7de0a73f2
2.84,Uber,UberXL,1.54481E+12,Fenway,West End,17.5,1,d9f75f28-f115-4c5a-845c-a92c97362954,6f72dfc5-27f1-42e8-84db-ccc7a75f6969
1.3,Uber,Taxi,1.54347E+12,Theatre District,South Station,,1,24e94a16-2d9b-4e4c-84c6-daf63f0486ca,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a
1.81,Uber,Black SUV,1.54354E+12,Theatre District,North End,29.5,1,2a3cc2d4-be1d-43a5-a0bc-4694f6174856,6d318bcc-22a3-4af6-bddd-b409bfce1546
1.3,Uber,WAV,1.54342E+12,Theatre District,South Station,9.5,1,3750bc55-d7e0-4570-8769-e91e69bd6879,9a0e7b09-b92b-4c41-9779-2ad22b4d779d
1.81,Uber,UberXL,1.54344E+12,Theatre District,North End,15,1,5ad26487-dbb2-472c-a141-30d59ddb9b72,6f72dfc5-27f1-42e8-84db-ccc7a75f6969
1.81,Uber,Taxi,1.54346E+12,Theatre District,North End,,1,6c2dec25-7912-4ca1-a0fa-99c148cef8a3,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a
1.3,Uber,Black SUV,1.54388E+12,Theatre District,South Station,27,1,7eae79ec-6a4a-4a36-9eb4-1e95860493d1,6d318bcc-22a3-4af6-bddd-b409bfce1546
1.81,Uber,Black,1.54371E+12,Theatre District,North End,19.5,1,8b37f02d-9406-4980-b1bd-5a17ecf08985,6c84fd89-3f11-4782-9b50-97c468b19529
1.3,Uber,Black,1.54342E+12,Theatre District,South Station,17.5,1,90503e0c-7f58-46ba-8353-67fe00fe4c2e,6c84fd89-3f11-4782-9b50-97c468b19529
